# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
330; false; 1.8560664643469077e-01
316; true; 9.6237669143164106e-01
334; true; 7.0977970367169751e-01
251; true; 6.9767992464120843e-01
219; true; 6.1764824218000480e-01
321; true; 6.1747279010479728e-01
326; true; 6.1695784848523849e-01
333; true; 6.0896475776060732e-01
290; true; 5.2825705364916253e-01
267; true; 5.2030519809910847e-01
319; true; 4.5992181152418038e-01
331; true; 4.5027101641261663e-01
317; true; 4.1095894502540903e-01
324; true; 3.9889715492935668e-01
320; true; 3.8125375513747067e-01
119; true; 3.3904431391603035e-01
329; true; 3.2322824465650823e-01
328; true; 3.2000147013463687e-01
205; true; 2.8181181388440446e-01
146; true; 2.2948873112094251e-01
327; true; 2.0981623661718246e-01
332; true; 2.0034734196697476e-01
322; true; 1.8790517818365202e-01
325; true; 1.7110353476012446e-01
315; true; 1.6816275349356882e-01
318; true; 1.5996254949720234e-01
94; true; 1.5014470862621832e-01
18; true; 1.2447664614277415e-01


# FractureId; NumTraces
22; 23
# TraceId; Tips; Length
120; false; 9.9493753841209864e-01
312; false; 5.9835354302756272e-01
342; false; 9.5965957148852712e-02
189; true; 1.0648771738260840e+00
339; true; 8.6375666718228183e-01
343; true; 8.5015841269920334e-01
335; true; 6.1898224823853365e-01
234; true; 5.9725329824506768e-01
338; true; 4.9703175961981028e-01
206; true; 4.3459483311429076e-01
4; true; 4.2160911792667893e-01
347; true; 3.9850311865155519e-01
345; true; 3.6092668112324511e-01
147; true; 3.2448070218554659e-01
47; true; 3.1618758581756456e-01
341; true; 2.5745090772180412e-01
337; true; 2.3423202477595281e-01
336; true; 2.0888544717545254e-01
315; true; 1.6816275349356882e-01
340; true; 1.4783836405562725e-01
344; true; 1.4529971490089216e-01
346; true; 9.5044694975166585e-02
348; true; 5.5127780077848111e-02


# FractureId; NumTraces
23; 28
# TraceId; Tips; Length
235; false; 9.8131160857697963e-01
316; false; 9.6237669143164106e-01
268; false; 7.2374329895624967e-01
353; false; 2.0962264456551652e-01
352; true; 1.3300331137214059e+00
350; true; 9.5462523364385499e-01
166; true; 9.1180787712735489e-01
359; true; 8.8212758396687174e-01
220; true; 7.5816410239208887e-01
362; true; 7.4673713670490427e-01
121; true; 7.1387476419108054e-01
363; true; 6.8553782288197962e-01
354; true; 6.8526175581343107e-01
355; true; 6.5495659492842340e-01
357; true; 6.4675749893412793e-01
335; true; 6.1898224823853365e-01
356; true; 6.0582187790190567e-01
190; true; 6.0349437559238295e-01
349; true; 5.9807208019662961e-01
360; true; 5.9672111346388013e-01
148; true; 5.4824912211249821e-01
252; true; 4.3816375382347522e-01
48; true; 3.2597142212739499e-01
207; true; 3.1474238645272784e-01
77; true; 1.7500582881682736e-01
361; true; 1.2421265986495533e-01
351; true; 7.9836739385102273e-02
358; true; 1.8269470125619542e-02


# FractureId; NumTraces
24; 20
# TraceId; Tips; Length
317; false; 4.1095894502540903e-01
291; false; 3.7981880314494182e-01
253; false; 3.7004351762862081e-01
138; false; 3.3767888439838567e-01
236; false; 2.9163550699945978e-01
372; false; 9.1594720327221812e-01
371; false; 2.1868792004327745e-01
367; false; 2.0842563303540973e-01
364; false; 1.7327692022259789e-01
349; true; 5.9807208019662961e-01
221; true; 4.6689682389788517e-01
167; true; 4.1798765587969688e-01
365; true; 3.2320722978942357e-01
370; true; 2.5372247623403871e-01
269; true; 2.4586594132640935e-01
368; true; 2.3411656572665809e-01
366; true; 2.0922272072655768e-01
49; true; 2.0628574193534777e-01
369; true; 1.4623086939220697e-01
304; true; 2.8412567098886340e-02


# FractureId; NumTraces
25; 14
# TraceId; Tips; Length
19; false; 3.0318395293005934e-01
122; false; 2.5846507698565907e-01
374; true; 8.4738823699890353e-01
377; true; 5.8668959231179119e-01
378; true; 5.0999038075769210e-01
50; true; 3.6637188742059468e-01
373; true; 3.2337647737518949e-01
95; true; 3.1592384318204880e-01
375; true; 3.0109577005753946e-01
336; true; 2.0888544717545254e-01
318; true; 1.5996254949720234e-01
376; true; 1.4677487957712568e-01
280; true; 1.2244077852624445e-01
